gps_x,gps_y,gps_z,gps_vx,gps_vy,gps_vz
-2.707028422614241019e+06,4.688708271044846624e+06,3.360431475463782903e+06,-2.800291833205042699e-02,-4.956881588639119006e-03,-4.351651731093511902e-03
-2.707032057994708885e+06,4.688707926648730412e+06,3.360428071230042260e+06,1.838475808495412464e-02,7.050417026406914645e-02,6.941986404032700342e-02
-2.707033560169538949e+06,4.688708997365679592e+06,3.360433388805371709e+06,-1.356892436797564432e-02,-9.824867605632230105e-02,7.581327383421649149e-03
-2.707028434142142534e+06,4.688714117491569370e+06,3.360432238815983757e+06,-1.893896527431146448e-02,-6.664687357803383838e-02,-5.702247356756542408e-03
-2.707031891521831974e+06,4.688718067130327225e+06,3.360439848796575330e+06,-5.198578859950973852e-03,6.234855553072279899e-02,2.910074932535640369e-02
-2.707024110454848036e+06,4.688721483435965143e+06,3.360429391366533469e+06,-2.305565462470327009e-02,-6.008471738496828224e-02,-3.371889951106692845e-02
-2.707029398988438770e+06,4.688719342669837177e+06,3.360437803536748048e+06,-2.386259342627227234e-02,-2.799269669354851470e-02,-3.613378610587703868e-04
-2.707025945737366099e+06,4.688710820942664519e+06,3.360442401484992355e+06,8.071377375444299673e-02,1.766777112975594088e-02,-2.677910491332379656e-03
-2.707027188523197547e+06,4.688707648900523782e+06,3.360430260758733843e+06,1.659618004554395954e-02,-5.983432350208089251e-02,8.999069553044103387e-02
-2.707034310911861248e+06,4.688714780036425218e+06,3.360433087146202568e+06,2.995658774035032945e-02,3.774356755084546516e-02,-9.787804279663459006e-02
-2.707035893474600278e+06,4.688705037667456083e+06,3.360438103224294260e+06,-6.525874745041813918e-02,4.120338894046247924e-03,-1.502982983072198402e-02
-2.707024100002130028e+06,4.688714608844128437e+06,3.360433250295748934e+06,-4.548761988832582953e-02,-1.974748227941403034e-02,-2.659927011501176525e-02
-2.707024716307420284e+06,4.688704033372367732e+06,3.360436188728208188e+06,-5.498324343229003125e-02,1.847344937938688592e-02,-2.809735672465996092e-02
-2.707029635691513307e+06,4.688704544488446787e+06,3.360437271083911415e+06,4.825320038946026568e-02,1.835937944014701855e-03,-6.057591943215487676e-03
-2.707034879320890177e+06,4.688711190819394775e+06,3.360443865811172873e+06,-5.477331468274637682e-02,3.910540329403914411e-02,2.161789829053980313e-03
-2.707029121967450250e+06,4.688714132581949234e+06,3.360449536000094377e+06,-8.099814144570088859e-02,4.079385140004813774e-03,8.143701785609878951e-03
-2.707030492864492349e+06,4.688715455049385317e+06,3.360434580817326438e+06,5.058009423506260038e-02,-3.125930624889767390e-02,-1.578358199428586683e-02
-2.707028779070765711e+06,4.688702217931768857e+06,3.360435663217207883e+06,2.253359031112880245e-02,-2.238309637018431192e-02,3.431957294522280238e-02
-2.707030841839783825e+06,4.688714368189982139e+06,3.360436513982172124e+06,2.137538890143593842e-02,7.240044816646805381e-02,-5.688139031719630090e-02
-2.707025386326707900e+06,4.688702354360403493e+06,3.360434176932928618e+06,2.042682113865152208e-02,1.543055844068664806e-01,-3.886608531179583381e-02
-2.707027452192614786e+06,4.688712736792447045e+06,3.360435735903131776e+06,-4.142076365645058073e-02,6.920239468294234197e-02,-3.375559126492624906e-02
