accel_x,accel_y,accel_z
9.999997004088228891e+00,9.999999008794803856e+00,2.051629072023723466e-01
1.000000456248672620e+01,9.999993382367193817e+00,2.051619411148626060e-01
1.000000284588765709e+01,9.999992830796500698e+00,2.051635091520698506e-01
9.999994036647679607e+00,9.999991976327949672e+00,2.051576233750422862e-01
1.000000161837814261e+01,1.000000265464155014e+01,2.051634953748469881e-01
1.000000394246550073e+01,1.000000308572955809e+01,2.051519350548079157e-01
1.000000074046295673e+01,1.000000199908517651e+01,2.051535582787479273e-01
9.999989352139968091e+00,9.999998994957568499e+00,2.051559842419720670e-01
1.000000243702680791e+01,9.999997583709626880e+00,2.051570002192701636e-01
1.000000223999326998e+01,1.000000424198898585e+01,2.051520059560153209e-01
9.999998944833176751e+00,9.999996028634830836e+00,2.051537498348602884e-01
9.999998475585593738e+00,9.999989465818497791e+00,2.051655505368089050e-01
9.999999629313164107e+00,1.000000691281238119e+01,2.051571027860002172e-01
9.999998117614232740e+00,1.000000121575476442e+01,2.051511310266499466e-01
9.999993850237995474e+00,9.999999536279892354e+00,2.051518986134499567e-01
1.000000387460572071e+01,1.000000520190706332e+01,2.051512882845717145e-01
9.999993256975795219e+00,1.000000624076962374e+01,2.051653481815667590e-01
9.999998206630740682e+00,9.999999989042922977e+00,2.051625100348198893e-01
9.999993676645397400e+00,1.000000026330707747e+01,2.051570812277366540e-01
9.999995878325446341e+00,9.999998872732053457e+00,2.051598178455963373e-01
1.000000539949693490e+01,9.999996467360448449e+00,2.051559940782170244e-01
9.999997942980311194e+00,9.999996112689554906e+00,2.051628795623992585e-01
1.000000288866271525e+01,9.999996115909448591e+00,2.051608208175611792e-01
9.999997744468359429e+00,9.999989231670371126e+00,2.051664983246703766e-01
9.999999735485413765e+00,9.999997300219179763e+00,2.051600708828409392e-01
9.999993535969077030e+00,9.999996917229042381e+00,2.051597901520862133e-01
9.999994479425025062e+00,1.000000098855288755e+01,2.051557407917056208e-01
1.000000062878415541e+01,9.999995610053442618e+00,2.051557776581237058e-01
9.999993044419790422e+00,9.999997378581010565e+00,2.051616183863127496e-01
1.000000435676395227e+01,9.999991056069848838e+00,2.051548735591203210e-01
1.000000053345181428e+01,9.999998002258440266e+00,2.051492291772794851e-01
9.999991932058659216e+00,9.999997386706990454e+00,2.051547853337037930e-01
