gyro_x,gyro_y,gyro_z
-1.935666810793654007e-04,2.935333232911336741e-04,5.300232051618172400e-04
4.562768466634680472e-04,-4.439434213432228762e-06,-3.202258661081578946e-05
-6.693864930546271060e-05,1.214355059597259579e-04,-1.397824441710306283e-04
-2.668997033556223548e-04,-3.652191125744674491e-04,1.661865242025335645e-04
3.773182224085705320e-04,3.498810343725044830e-04,2.158479267430663700e-04
-1.561359930790238895e-04,3.847195748873014466e-04,1.746184966746708203e-05
-2.113101449753456470e-04,-6.986836400921084457e-06,3.485673578633399121e-04
-9.179083194212321075e-05,1.990652394822923197e-04,-2.088288870345224812e-04
-3.977492739436701871e-04,1.765824941047086907e-05,-3.978303277733666668e-04
-1.175731205127160926e-04,-3.916221933101662130e-05,8.149373964491299881e-05
-3.387280095305937079e-04,-2.409362884059505685e-04,2.173678396873926911e-04
-6.107717048532712058e-04,1.375510803420645965e-04,8.766307535256872554e-05
-1.612635393422188123e-04,-2.764397232718118140e-04,2.568490843264392421e-06
-1.017807384934604971e-05,-4.814480209206369157e-05,3.066807948400242950e-04
4.715537883435803467e-04,5.297302943949765619e-04,-2.650862538248453543e-04
-4.857234769801460519e-04,5.492967806980496174e-04,4.937246554811424186e-04
-3.327511493577841695e-04,4.067668888245439961e-04,-2.016899014260394030e-04
5.143753997352039429e-05,3.490518232090374117e-05,1.912213083233887836e-04
7.652792824686981197e-05,-1.233665378517069902e-04,-2.483606283644578926e-04
-7.967050463841764303e-05,4.732292347287454250e-04,-3.099185605967829938e-05
-1.813978567122290697e-04,2.079965112225137629e-04,1.195102875743488412e-04
-6.189035980695742995e-04,-3.800908609217224497e-04,5.696242123029873847e-04
4.101221089694055081e-04,7.006190741808273692e-04,1.817510743532903587e-04
-5.801033469872813545e-04,4.900204576067770977e-04,-4.722185212220891414e-04
-2.235690297021733654e-05,4.092559886515196167e-04,2.279989703668016223e-04
5.875167214470807366e-04,-3.690072008166985829e-04,-1.086815305001682068e-04
-5.398343182538018880e-04,6.343595125703331040e-04,-7.342054907246425160e-05
-1.459882960973536931e-04,1.676491984866035573e-04,4.165453024628473745e-05
8.368228138533671909e-05,3.236011337650696799e-04,-1.532013382321944486e-04
-2.434008539793493741e-04,-6.855596261443214505e-05,4.216942574323730175e-04
4.993404238380255754e-04,-2.910094156215248858e-04,2.449187127794402361e-04
-6.954944372518366590e-05,-9.075739873334290504e-05,1.771720525159690756e-04
-1.428218161765491497e-04,-7.962257069390090011e-05,5.947272047136068244e-04
-2.034666930177980346e-04,6.149938426040343280e-05,-7.933552987319332159e-05
2.390795675303687348e-04,-3.683381330936695043e-04,9.442137055393985050e-05
-1.301116111116504075e-04,-2.722205809401818033e-04,8.420909786901187842e-06
1.109564792031883333e-04,1.598211159905125371e-04,-3.219915372421340138e-04
-1.676273978119763666e-04,2.807553271783753664e-04,-1.860849110335722741e-04
6.501032927318650537e-05,-7.370855905789590627e-04,1.278463939435620252e-04
5.420662517978558104e-05,-4.425947003308402334e-04,-4.339990473975788797e-04
-3.442531816477867497e-04,6.204429240053904509e-04,-3.549440868720712722e-04
